中文名称,英文名称,定义
托叶宿存,stipular survival,植物叶生长时，托叶伴随存在。如桃、枫香等植物的托叶。
托叶早落,stipular caducity,植物早期具有托叶，叶长成后脱落，如桑、玉兰等托叶早落后，留下的环状痕迹称为托叶痕，如环状则称为托叶环。
托叶卷须,stipular tendril,植物的托叶变成卷须，一般2条，如土茯苓。
托叶刺,stipular prickle,植物的托叶呈刺状，如铁海棠、枣、刺槐等。
托叶鞘,ocrea,托叶联合成鞘状，包围在茎节的基部，如大黄、野荞麦等蓼科植物。
单叶,simple leaf,1个叶柄上只生1枚叶片，如厚朴、女贞、樟树等。
复叶,compound leaf,1个叶柄上生有2枚或以上叶片，如五加、白扁豆等。复叶的叶柄称总叶柄（common petiole），总叶柄以上着生叶片的轴状部分称叶轴（rachis），复叶上的每片叶称小叶（leaflet），其叶柄称小叶柄（petiolule）。
三出复叶,ternately compound leaf,叶柄上生有3片小叶的复叶。若顶生小叶有柄称为羽状三出复叶（pinnately ternately compound leaf），如大豆、胡枝子等；若顶生小叶无柄的，称为掌状三出复叶（palmately ternately compound leaf），如酢浆草、半夏等。
羽状三出复叶,pinnately ternately compound leaf,叶柄上生有3片小叶的复叶。若顶生小叶有柄称为羽状三出复叶，如大豆、胡枝子等。
掌状三出复叶,palmately ternately compound leaf,叶柄上生有3片小叶的复叶。若顶生小叶无柄的，称为掌状三出复叶，如酢浆草、半夏等。
掌状复叶,palmately compound leaf,叶轴缩短，顶端集生3片以上小叶，呈掌状展开，如五加、人参等。
羽状复叶,pinnately compound leaf,叶轴长，小叶片在叶轴两侧排成羽毛状。若羽状复叶的叶轴顶端生有1片小叶，称单（奇）数羽状复叶（odd-pinnately compound leaf），如苦参。若羽状复叶的叶轴顶端生有2片小叶，称双（偶）数羽状复叶（even-pinnately compound leaf），如决明。若叶轴作一次羽状分枝，形成许多侧生小叶轴（rachilla），在小叶轴上又形成羽状复叶，称为二回羽状复叶（bipinnate leaf），如合欢；若叶轴作二次羽状分枝，第二级分枝上又形成羽状复叶的，称三回羽状复叶（tripinnate leaf），如楝。
单（奇）数羽状复叶,odd-pinnately compound leaf,若羽状复叶的叶轴顶端生有1片小叶，称单（奇）数羽状复叶。
双（偶）数羽状复叶,even-pinnately compound leaf,若羽状复叶的叶轴顶端生有2片小叶，称双（偶）数羽状复叶，如决明。
二回羽状复叶,bipinnate leaf,若叶轴作一次羽状分枝，形成许多侧生小叶轴（rachilla），在小叶轴上又形成羽状复叶，称为二回羽状复叶，如合欢。
三回羽状复叶,tripinnate leaf,若叶轴作二次羽状分枝，第二级分枝上又形成羽状复叶的，称三回羽状复叶，如楝。
单身复叶,unifoliate compound leaf,叶轴上只具有1枚叶片，顶生小叶与叶轴连接处具一明显关节，总叶柄扁平翅状，如柑橘等芸香科柑橘属植物的叶。
叶序,phyllotaxy,叶在茎枝上排列的次序或方式。常见的叶序有互生、对生、轮生、簇生等4种。
互生,alternate,指在茎枝的每个节上只生1枚叶，各叶交互而生，常沿茎枝作螺旋状排列，如桑、桃等的叶序。
对生,opposite,在茎枝的每个节上相对着生2枚叶，有的与相邻的两叶成十字排列成交互对生，如忍冬、龙胆等的叶序；有的对生叶排列于茎的两侧成二列状对生，如红豆杉的叶序。
轮生,"whorled, verticillate",指每个节上轮生3枚或3枚以上的叶，如轮叶沙参的叶序。
簇生,fascicled,指2枚或2枚以上的叶着生在短枝上成簇状，如银杏的叶序。有些植物的茎极为缩短，节间不明显，其叶似从根上长出，称基生叶（basal leaf），基生叶常集生而成莲座状，称莲座状叶序（rosette），如蒲公英、车前等。
基生叶,basal leaf,2枚或2枚以上的叶着生在短枝上成簇状，称为簇生。有些植物的茎极为缩短，节间不明显，其叶似从根上长出，称基生叶。
莲座状叶序,rosette,2枚或2枚以上的叶着生在短枝上成簇状，称为簇生。有些植物的茎极为缩短，节间不明显，其叶似从根上长出，称基生叶。基生叶常集生而成莲座状，称莲座状叶序，如蒲公英、车前等。
叶镶嵌,leaf mosaic,叶在茎枝上无论以哪一种方式排列，相邻两节的叶片都不重叠，总是以相当的角度彼此镶嵌着生的现象。叶镶嵌使叶片不致相互遮盖，有利于进行光合作用。叶镶嵌现象比较明显的有爬山虎、常春藤等。
异形叶性,heterophylly,同种植物在同一植株上、或不同植株上有不同形状的叶的现象。如人参，一年生的只有1枚由3片小叶组成的复叶，二年生的为1枚掌状复叶（巴掌），三年生的有2枚掌状复叶（二甲子），四年生的有3枚掌状复叶（灯台子），以后每年递增1叶，最多可达6枚复叶（六品叶）。
苞片,bract,生于花序中或花序基部的变态叶。围于花序基部1至多层的苞片合称为总苞（involucre），总苞中的各个苞片称总苞片；花序中每朵小花的花柄上或花的花萼下较小的苞片称小苞片（bractlet）。如菊科植物的头状花序基部由多数绿色总苞片组成总苞。
总苞,involucre,围于花序基部1至多层的苞片合称为总苞，总苞中的各个苞片称总苞片。
小苞片,bractlet,花序中每朵小花的花柄上或花的花萼下较小的苞片称小苞片。
佛焰苞,spathe,天南星科植物花序外面的一片大型的总苞片。
鳞叶,scale leaf,叶特化或退化成鳞片状，或称鳞片。有膜质和肉质两种，膜质鳞叶菲薄，一般不显绿色，如姜的根状茎上的鳞叶；肉质鳞叶肥厚，能贮藏营养物质，如百合、洋葱等鳞茎上的肥厚鳞叶。
刺状叶,acicular leaf,"又叫叶刺，由叶片或托叶变态成坚硬的刺，如小檗的叶变成三刺，称为""三棵针""。"
叶卷须,leaf tendril,叶的全部或一部分变为卷须，借以攀援其他物体，如炮仗花的卷须由三出复叶先端的小叶片变成，菝葜的卷须由托叶变成。据卷须的生长部位可与茎卷须区别。
捕虫叶,insectivorous leaf,指食虫植物的叶，叶片一般形成囊状、盘状或瓶状等捕虫结构，当昆虫触及时立即自动闭合将昆虫捕获，后用腺毛或腺体内的消化液消化，如捕蝇草、猪笼草等。

